name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
montgomery,2023-01-12,23.4,12.1,17.7,23.4,12.1,17.7,12.1,70.5,17.355,100,12.5,rain,0,0,65.6,41.8,220.2,1013.3,60.9,15.8,57.2,5,3,30,2023-01-12T06:47:26,2023-01-12T16:59:51,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-01-13,10.9,3.7,6.4,10.9,-0.4,3,0,63.8,0,0,0,"rain,snow",0,0,43,28.4,314.7,1019.4,99.9,16,42.1,3.7,2,10,2023-01-13T06:47:19,2023-01-13T17:00:44,0.73,Overcast,Cloudy skies throughout the day.,cloudy,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-01-14,9.7,0.9,4.9,7.8,-1.8,1.9,-4,53.7,0,0,0,"rain,snow",0,0,41.1,27.5,331.2,1023.7,41.8,16,118.9,10.4,5,10,2023-01-14T06:47:10,2023-01-14T17:01:38,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-01-15,14.7,-3.1,4.6,14.7,-4.6,4.3,-4.5,59.9,0,0,0,"rain,snow",0,0,13,8,334.6,1022.7,0,16,124.7,10.8,5,10,2023-01-15T06:46:59,2023-01-15T17:02:32,0.79,Clear,Clear conditions throughout the day.,clear-day,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-01-16,19.4,0.2,9.3,19.4,-1.6,9.1,0.3,57.6,0,0,0,"rain,freezingrain",0,0,29.5,17.7,166.1,1017.8,31,15.9,104.4,9.2,4,10,2023-01-16T06:46:46,2023-01-16T17:03:27,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-01-17,20.3,8.6,15.3,20.3,8.4,15.3,11.6,79,0.903,100,12.5,rain,0,0,40.7,17.1,210.5,1012.3,76.4,12.5,36,3.1,2,10,2023-01-17T06:46:32,2023-01-17T17:04:22,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-01-18,22.5,11.3,17.2,22.5,11.3,17.2,14.1,83,0.001,100,4.17,rain,0,0,31.3,18.1,152.4,1014.1,70.8,9.5,49.1,4.3,2,10,2023-01-18T06:46:16,2023-01-18T17:05:17,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-01-19,23,11.8,18.2,23,11.8,18.2,6.7,52.8,0.29,100,20.83,rain,0,0,44.3,21.5,219.3,1014,43.8,16,103,8.9,4,10,2023-01-19T06:45:58,2023-01-19T17:06:12,0.93,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-01-20,15,5.3,10.7,15,4.2,10.2,-0.6,47.1,0.066,100,4.17,rain,0,0,27.7,11.5,300.8,1021.5,33.6,16,103.8,8.9,4,10,2023-01-20T06:45:39,2023-01-20T17:07:08,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-01-21,11.9,8,9.5,11.9,5.3,8.7,3,65.2,5.289,100,41.67,rain,0,0,27.7,17.3,77.8,1019.8,95.1,15.7,38.5,3.2,3,10,2023-01-21T06:45:17,2023-01-21T17:08:04,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-01-22,11.1,7.8,9.6,11.1,5.3,8.8,7.2,85.4,19.221,100,58.33,rain,0,0,31.3,19.4,52.8,1010.4,92.2,13.8,13.9,1.1,1,10,2023-01-22T06:44:54,2023-01-22T17:09:01,0.03,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,BDAA1"
montgomery,2023-01-23,12.9,3.4,8.1,12.9,1.7,7.2,1.3,65.1,0.002,100,4.17,rain,0,0,35.4,24.6,338,1021.9,25.7,16,128.2,11.2,5,10,2023-01-23T06:44:30,2023-01-23T17:09:57,0.06,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-01-24,13.2,-0.6,7.2,13.2,-0.6,7,-1.7,57,0,0,0,,0,0,37.1,27.4,106.4,1022,46.4,16,101.8,8.7,4,10,2023-01-24T06:44:03,2023-01-24T17:10:53,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-01-25,16.4,5.3,12.3,16.4,2.7,11.6,6.2,67.2,27.005,100,16.67,rain,0,0,53.6,28.2,250.3,1011.3,89.1,15.2,84,7,4,10,2023-01-25T06:43:35,2023-01-25T17:11:50,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-01-26,10.4,2.4,5.7,10.4,0.7,4.6,-1.1,63.9,0,0,0,,0,0,35.3,17.5,276.1,1022.7,28.3,16,126.7,11,5,10,2023-01-26T06:43:06,2023-01-26T17:12:47,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-01-27,11.5,-2.3,4.5,11.5,-4.6,4,-3.2,61.3,0,0,0,,0,0,20.5,9.8,255.2,1027.7,10.7,16,126.1,10.9,5,10,2023-01-27T06:42:34,2023-01-27T17:13:43,0.2,Clear,Clear conditions throughout the day.,clear-day,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-01-28,16.7,-0.6,7.4,16.7,-0.6,7.2,-3.8,53,0,0,0,,0,0,22.3,16.1,135,1027.5,7.2,15.5,154,13.3,6,10,2023-01-28T06:42:02,2023-01-28T17:14:40,0.25,Clear,Clear conditions throughout the day.,clear-day,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-01-29,15.5,6.5,11,15.5,4.5,10.5,4.6,66,26.52,100,37.5,rain,0,0,27.7,11,56.9,1022,61.8,13.1,38,3.3,2,10,2023-01-29T06:41:27,2023-01-29T17:15:36,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-01-30,17.7,13.2,15.1,17.7,13.2,15.1,12.8,85.9,31.618,100,58.33,rain,0,0,27.7,10.8,43,1020.4,96.3,13.7,52.3,4.4,4,10,2023-01-30T06:40:51,2023-01-30T17:16:33,0.3,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-01-31,21.3,14.5,17.3,21.3,14.5,17.3,14.4,83.7,0.036,100,16.67,rain,0,0,18.4,11.9,247.7,1020.8,99.5,11.4,42.4,3.7,2,10,2023-01-31T06:40:14,2023-01-31T17:17:29,0.33,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-02-01,14.7,10.2,12.3,14.7,10.2,12.3,9,81,2.325,100,20.83,rain,0,0,20.5,11.9,307.6,1023,99.9,13.6,64.2,5.7,4,10,2023-02-01T06:39:35,2023-02-01T17:18:25,0.37,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-02-02,11.4,9.3,10.4,11.4,7.6,10,7.9,84.5,30.206,100,50,rain,0,0,31.3,14,9.3,1020.8,95.6,11.7,20.7,1.9,1,10,2023-02-02T06:38:54,2023-02-02T17:19:21,0.4,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9"
montgomery,2023-02-03,13.4,3.7,8.5,13.4,0.4,6.6,-2.2,51.1,6.053,100,29.17,rain,0,0,38.9,22.7,346.3,1026.8,29.7,16,166.8,14.5,6,10,2023-02-03T06:38:12,2023-02-03T17:20:17,0.43,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9"
montgomery,2023-02-04,15.4,0.2,7.4,15.4,-2.2,5.9,-4.7,44,0.018,100,8.33,rain,0,0,29.5,15,74.3,1030.9,6.6,16,163,14.1,6,10,2023-02-04T06:37:29,2023-02-04T17:21:13,0.47,Rain,Clear conditions throughout the day with rain.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9"
montgomery,2023-02-05,18.8,5.9,10.9,18.8,4.5,10.4,2.7,58.7,0.009,100,4.17,rain,0,0,22.3,12.6,40,1024.3,18.7,16,156.3,13.5,6,10,2023-02-05T06:36:44,2023-02-05T17:22:08,0.5,Rain,Clear conditions throughout the day with morning rain.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9"
montgomery,2023-02-06,20.4,2.6,10.8,20.4,2.6,10.8,2,62.2,0.012,100,4.17,rain,0,0,16.6,16.2,66.4,1022.3,0,13.1,153.1,13.2,6,10,2023-02-06T06:35:57,2023-02-06T17:23:03,0.53,Rain,Clear conditions throughout the day with morning rain.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-02-07,23.2,4.4,14.4,23.2,3.5,14.3,5.1,57.2,0.009,100,4.17,rain,0,0,22.3,14.9,114.1,1023.3,41.1,16,137.5,11.9,6,10,2023-02-07T06:35:10,2023-02-07T17:23:58,0.57,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9"
montgomery,2023-02-08,26.4,15.3,20.2,26.4,15.3,20.2,11,56.3,0,0,0,,0,0,31.1,19.8,155.4,1021.5,73.2,16,127.9,10.9,5,10,2023-02-08T06:34:21,2023-02-08T17:24:53,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-02-09,19.9,12.6,16.5,19.9,12.6,16.5,11.6,73.5,5.92,100,29.17,rain,0,0,40.7,18.4,201.8,1019.1,93.9,16,36.6,3.1,2,10,2023-02-09T06:33:30,2023-02-09T17:25:47,0.64,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-02-10,16,10.9,13,16,10.9,13,7.1,68.6,2.218,100,45.83,rain,0,0,22.3,16.4,1.9,1021.1,85.9,16,95.4,8.2,6,10,2023-02-10T06:32:39,2023-02-10T17:26:41,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-02-11,12.4,8.2,9.9,12.4,5.5,9.1,5.8,76.6,28.155,100,75,rain,0,0,53.6,36.6,42.7,1015,93.4,12.6,23.9,2,1,10,2023-02-11T06:31:46,2023-02-11T17:27:35,0.71,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-02-12,15.2,5.8,8.5,15.2,2.3,7,1.9,65.8,5.325,100,75,rain,0,0,44.3,25.5,292.4,1012.8,57.7,15.4,87.7,7.4,4,10,2023-02-12T06:30:52,2023-02-12T17:28:28,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"99999973802,KMXF,72226513821,F7894,KMGM,72226013895,K1A9,BDAA1"
montgomery,2023-02-13,19.3,1,9.8,19.3,1,9.6,-1.3,51.5,0,0,0,,0,0,22.3,14.2,246.9,1017.4,0,16,212,18.2,8,10,2023-02-13T06:29:57,2023-02-13T17:29:21,0.75,Clear,Clear conditions throughout the day.,clear-day,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-02-14,23.4,3.9,13.5,23.4,3.9,13.4,3,57.1,0,0,0,,0,0,39.3,26.9,155,1016.1,16.6,15.8,189.5,16.3,7,10,2023-02-14T06:29:00,2023-02-14T17:30:14,0.81,Clear,Clear conditions throughout the day.,clear-day,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-02-15,23.4,13.7,18.8,23.4,13.7,18.8,12.8,68.9,0,0,0,,0,0,40.7,20.6,159.6,1017.4,82.5,16,89.5,7.6,4,10,2023-02-15T06:28:03,2023-02-15T17:31:06,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-02-16,25.6,17.7,21.5,25.6,17.7,21.5,15.4,69.1,0,0,0,,0,0,44.3,23.7,171,1015,83,16,113.3,9.9,6,10,2023-02-16T06:27:04,2023-02-16T17:31:58,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-02-17,22,2.9,9.5,22,-0.4,7.5,3.4,66.8,10.094,100,29.17,rain,0,0,47.2,31.4,312.8,1021.2,56.5,15.5,117.7,10.2,6,10,2023-02-17T06:26:04,2023-02-17T17:32:50,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-02-18,13.5,-1,5.4,13.5,-4.3,3.5,-3.5,55.5,0,0,0,,0,0,29.5,17.4,18.3,1029.8,4.5,16,223.9,19.4,8,10,2023-02-18T06:25:04,2023-02-18T17:33:41,0.95,Clear,Clear conditions throughout the day.,clear-day,"99999973802,KMXF,72226513821,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-02-19,18.7,4.5,10.7,18.7,4.5,10.5,0.7,53.7,0,0,0,,0,0,16.6,10.4,201.3,1024.5,14.8,15.9,195.6,16.9,7,10,2023-02-19T06:24:02,2023-02-19T17:34:32,0.98,Clear,Clear conditions throughout the day.,clear-day,"99999973802,KMXF,72226513821,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-02-20,19.6,5.7,13.4,19.6,5.5,13.3,8.6,73.1,0,0,0,,0,0,40.3,17.1,231.7,1015.8,33.8,16,124.6,10.7,7,10,2023-02-20T06:22:59,2023-02-20T17:35:22,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999973802,KMXF,72226513821,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-02-21,25.6,17.5,20.8,25.6,17.5,20.8,14.9,69.5,0,0,0,,0,0,38.9,19.3,215.7,1011.8,66.6,16,112.3,9.6,5,10,2023-02-21T06:21:55,2023-02-21T17:36:12,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-02-22,28.2,17.7,22.6,27.7,17.7,22.5,14.8,64.4,0,0,0,,0,0,47.7,33,187.6,1013.7,58.4,16,171.5,14.8,8,10,2023-02-22T06:20:51,2023-02-22T17:37:02,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-02-23,27.9,20,23.3,28.6,20,23.4,18,73.2,0.001,100,4.17,rain,0,0,35.6,21.6,192.4,1018.4,58.7,16,92.4,7.9,4,10,2023-02-23T06:19:45,2023-02-23T17:37:51,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"99999973802,KMXF,72226513821,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-02-24,26.4,15.5,21.1,26.4,15.5,21.1,16.1,74.4,0,0,0,,0,0,20.5,15.8,237.4,1023.8,85.7,15.6,87.2,7.5,3,10,2023-02-24T06:18:39,2023-02-24T17:38:40,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-02-25,27.3,13.9,19.4,27.4,13.9,19.5,14,72.6,0.258,100,4.17,rain,0,0,33.5,16.9,281.1,1023,59.8,15.2,121.5,10.6,5,10,2023-02-25T06:17:32,2023-02-25T17:39:29,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"99999973802,KMXF,72226513821,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-02-26,26.7,16.2,20.6,26.7,16.2,20.6,14.1,69,0,0,0,,0,0,18.4,11.7,252.1,1017.7,49.8,14.6,166.5,14.3,7,10,2023-02-26T06:16:24,2023-02-26T17:40:17,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-02-27,27.3,17.4,21.9,27.1,17.4,21.9,15,66.7,0.172,100,8.33,rain,0,0,46.4,25.6,204.7,1009.7,67.5,16,102.7,8.9,6,10,2023-02-27T06:15:15,2023-02-27T17:41:05,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"99999973802,KMXF,72226513821,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-02-28,27.7,18.3,22.3,27,18.3,22.2,13.3,60.1,0,0,0,,0,0,31.7,13.1,255,1011,27.4,15.9,203.6,17.6,7,10,2023-02-28T06:14:05,2023-02-28T17:41:53,0.28,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"99999973802,KMXF,72226513821,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-03-01,27.6,18.4,22.9,27.9,18.4,22.9,16.2,67.8,0.002,100,4.17,rain,0,0,37.1,17.7,205.9,1013.1,64.7,15.2,130.5,11.4,4,30,2023-03-01T06:12:55,2023-03-01T17:42:40,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"99999973802,KMXF,72226513821,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-03-02,26.3,16.2,20.2,26.3,16.2,20.2,15.2,73.3,0.809,100,25,rain,0,0,43.5,26.5,131.5,1010,91.2,15.8,99.8,8.5,5,10,2023-03-02T06:11:44,2023-03-02T17:43:27,0.34,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"99999973802,KMXF,72226513821,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-03-03,28,13.3,21.5,28.7,13.3,21.6,14,64.6,0.074,100,12.5,rain,0,0,63.6,38.8,180.4,1002,80.1,16,112,9.7,5,60,2023-03-03T06:10:33,2023-03-03T17:44:14,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-03-04,24.2,10.7,16.9,24.2,10.7,16.9,7.7,59.2,0,0,0,,0,0,27.7,14.2,300.9,1012.5,1.2,16,206.6,17.8,8,10,2023-03-04T06:09:20,2023-03-04T17:45:00,0.41,Clear,Clear conditions throughout the day.,clear-day,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-03-05,24.8,9,16.9,24.8,8.1,16.9,5.4,50.7,0,0,0,,0,0,22.3,10.4,27.7,1019.5,0,14.4,229.1,19.9,8,10,2023-03-05T06:08:08,2023-03-05T17:45:46,0.44,Clear,Clear conditions throughout the day.,clear-day,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-03-06,28.2,9.4,18.8,27.6,9.4,18.7,10.4,62,0,0,0,,0,0,22.3,17.5,243.6,1018.1,10.9,15.5,221.5,19.3,8,10,2023-03-06T06:06:54,2023-03-06T17:46:32,0.47,Clear,Clear conditions throughout the day.,clear-day,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-03-07,29,18.3,23.1,28.2,18.3,23,14.5,61.3,0.002,100,4.17,rain,0,0,22.3,11.1,305.9,1016.4,55.6,15.5,174.1,15.1,6,10,2023-03-07T06:05:41,2023-03-07T17:47:17,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-03-08,23.3,13.7,19,23.3,13.7,19,-0.1,29.6,0,0,0,,0,0,38.9,22.8,79.9,1020.3,33.2,15.7,197.8,16.9,8,10,2023-03-08T06:04:26,2023-03-08T17:48:02,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-03-09,22.2,14.6,17.7,22.2,14.6,17.7,5.5,47.1,8.739,100,20.83,rain,0,0,29.5,19.9,106.3,1019.2,94.6,15.8,88.3,7.7,5,10,2023-03-09T06:03:12,2023-03-09T17:48:47,0.58,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-03-10,18.7,9.3,15.8,18.7,8.2,15.8,11.4,75.8,6.939,100,33.33,rain,0,0,29.5,15.7,305.1,1015.2,66.1,14.8,69.8,6,4,10,2023-03-10T06:01:56,2023-03-10T17:49:31,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-03-11,20.1,5.9,13.3,20.1,5.9,13.2,3.6,56.7,0,0,0,,0,0,18.4,12.6,63.9,1013.6,43.3,14.7,214.5,18.5,8,10,2023-03-11T06:00:41,2023-03-11T17:50:16,0.65,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
